Century;Type;Race1;Race2;Planet;System;Event
98;Event;44;;4566;1355;Anarchy government has been overthrown by Community
98;Event;99;;10663;3160;Democracy government has been overthrown by Balkanization
98;Event;103;;11021;3267;Community government has been overthrown by Democracy
98;Event;105;;11341;3369;Community government has been overthrown by Balkanization
98;Event;173;;17652;5204;Balkanization government has been overthrown by Theocracy
98;Event;218;;22061;6529;Democracy government has been overthrown by Community
98;Event;226;;22658;6703;Community government has been overthrown by Theocracy
98;Event;241;;25015;7390;Democracy government has been overthrown by Balkanization
98;Event;242;;25136;7435;Democracy government has been overthrown by Balkanization
98;Event;265;;27542;8130;Monarchy government has been overthrown by Democracy
98;Event;437;;43499;12807;Economic boon
98;Event;543;;52781;15579;Democracy government has been overthrown by Democracy
98;Event;691;;67195;19780;Monarchy government has been overthrown by Community
98;Event;693;;67352;19828;Theocracy government has been overthrown by Democracy
98;Event;730;;71353;20939;Theocracy government has been overthrown by Tribalism
98;Event;832;;79835;23487;Tribalism government has been overthrown by Community
98;Event;918;;87011;25573;Monarchy government has been overthrown by Anarchy
98;Event;956;;90283;26530;Balkanization government has been overthrown by Balkanization
98;Event;985;;92706;27259;Tribalism government has been overthrown by Anarchy
98;Event;995;;93682;27547;Community government has been overthrown by Anarchy
98;Event;1009;;95237;28023;Tribalism government has been overthrown by Anarchy
98;Event;1050;;100197;29433;Crime Wave
98;Event;1102;;104059;30616;Crime Wave
98;Event;1108;;104826;30846;Balkanization government has been overthrown by Democracy
98;Event;1109;;104869;30862;Theocracy government has been overthrown by Democracy
98;Event;1112;;105042;30910;Civil unrest
98;Event;1144;;108557;31956;Democracy government has been overthrown by Tribalism
98;Event;1158;;110935;32667;Anarchy government has been overthrown by Balkanization
98;Event;1166;;111422;32803;Balkanization government has been overthrown by Anarchy
98;Event;1196;;114372;33688;Community government has been overthrown by Tribalism
98;Event;1201;;114730;33797;Balkanization government has been overthrown by Democracy
98;Event;1218;;116531;34310;Restoring order
98;Event;1250;;120001;35317;TL collapse
98;Event;1261;;120672;35493;Democracy government has been overthrown by Theocracy
98;Event;1275;;121888;35840;Anarchy government has been overthrown by Community
98;Event;1391;;135750;39823;Community government has been overthrown by Anarchy
98;Event;1592;;151895;44536;Crime Wave
98;Event;1672;;159386;46796;Theocracy government has been overthrown by Balkanization
98;Event;1779;;169762;49783;Balkanization government has been overthrown by Anarchy
98;Event;1781;;169844;49805;Theocracy government has been overthrown by Tribalism
98;Event;1797;;171141;50193;Theocracy government has been overthrown by Community
98;Event;1924;;184366;54126;Monarchy government has been overthrown by Monarchy
98;Event;1951;;186760;54875;Community government has been overthrown by Monarchy
98;Event;2018;;193235;56769;Monarchy government has been overthrown by Community
98;Event;2035;;194588;57182;Tribalism government has been overthrown by Balkanization
98;Event;2043;;195160;57379;Civil unrest
98;Event;2043;;195160;57379;Community government has been overthrown by Democracy
98;Event;2051;;196048;57634;Theocracy government has been overthrown by Democracy
98;Event;2061;;197341;58021;Community government has been overthrown by Monarchy
98;Event;2069;;197711;58136;Tribalism government has been overthrown by Community
98;Event;2077;;198273;58296;Anarchy government has been overthrown by Community
98;Event;2086;;198943;58508;Natural catastrophe
98;Event;2090;;199296;58607;Democracy government has been overthrown by Community
98;Event;2151;;206008;60537;Democracy government has been overthrown by Community
98;Event;2213;;211996;62283;Democracy government has been overthrown by Balkanization
98;Event;2316;;222166;65284;Democracy government has been overthrown by Tribalism
98;Event;2348;;225683;66292;Anarchy government has been overthrown by Monarchy
98;Event;2350;;225826;66332;Monarchy government has been overthrown by Monarchy
98;Event;2414;;231102;67876;Theocracy government has been overthrown by Tribalism
98;Event;2461;;235082;68970;Anarchy government has been overthrown by Monarchy
98;Event;2489;;237528;69749;Balkanization government has been overthrown by Balkanization
98;Event;2544;;242369;71135;Tribalism government has been overthrown by Anarchy
98;Event;2560;;244160;71635;Agricultural disaster
97;Event;4;;702;194;Community government has been overthrown by Theocracy
97;Event;158;;16121;4757;Balkanization government has been overthrown by Tribalism
97;Event;260;;26853;7933;Monarchy government has been overthrown by Community
97;Event;284;;29544;8711;Anarchy government has been overthrown by Theocracy
97;Event;324;;33293;9860;Successful terrorist attempt
97;Event;357;;36046;10644;Plague
97;Event;363;;36416;10749;Community government has been overthrown by Community
97;Event;393;;39640;11719;Theocracy government has been overthrown by Balkanization
97;Event;427;;42644;12566;Community government has been overthrown by Monarchy
97;Event;445;;44334;13041;Tribalism government has been overthrown by Monarchy
97;Event;450;;44919;13232;Monarchy government has been overthrown by Community
97;Event;463;;46084;13558;Theocracy government has been overthrown by Balkanization
97;Event;484;;47685;14021;Monarchy government has been overthrown by Democracy
97;Event;490;;48094;14167;Tribalism government has been overthrown by Democracy
97;Event;582;;56009;16469;Community government has been overthrown by Tribalism
97;Event;603;;58047;17086;Monarchy government has been overthrown by Monarchy
97;Event;623;;59785;17602;Democracy government has been overthrown by Theocracy
97;Event;651;;62787;18481;Democracy government has been overthrown by Democracy
97;Event;677;;66064;19457;Anarchy government has been overthrown by Community
97;Event;681;;66452;19576;Community government has been overthrown by Tribalism
97;Event;711;;69513;20448;Theocracy government has been overthrown by Democracy
97;Event;731;;71455;20968;Civil rights progress
97;Event;783;;76122;22351;Anarchy government has been overthrown by Balkanization
97;Event;797;;76995;22602;Tribalism government has been overthrown by Theocracy
97;Event;821;;78941;23198;Tribalism government has been overthrown by Balkanization
97;Event;879;;83712;24605;Community government has been overthrown by Tribalism
97;Event;902;;85769;25211;Community government has been overthrown by Balkanization
97;Event;981;;92277;27125;Theocracy government has been overthrown by Anarchy
97;Event;1093;;103201;30345;Theocracy government has been overthrown by Anarchy
97;Event;1097;;103733;30507;Research breakthrough
97;Event;1132;;107760;31724;Balkanization government has been overthrown by Tribalism
97;Event;1173;;112174;33020;Community government has been overthrown by Anarchy
97;Event;1264;;120746;35515;Theocracy government has been overthrown by Community
97;Event;1268;;121553;35749;Theocracy government has been overthrown by Anarchy
97;Event;1372;;133375;39113;Agricultural disaster
97;Event;1372;;133375;39113;Tribalism government has been overthrown by Anarchy
97;Event;1393;;135866;39862;Democracy government has been overthrown by Community
97;Event;1540;;147371;43239;Theocracy government has been overthrown by Balkanization
97;Event;1545;;148000;43409;Theocracy government has been overthrown by Community
97;Event;1569;;150094;44029;Research breakthrough
97;Event;1589;;151763;44491;Civil rights progress
97;Event;1795;;170978;50142;Democracy government has been overthrown by Balkanization
97;Event;1833;;175190;51385;Community government has been overthrown by Democracy
97;Event;1852;;176740;51847;Democracy government has been overthrown by Balkanization
97;Event;1883;;180502;52958;Theocracy government has been overthrown by Balkanization
97;Event;1957;;187081;54974;Balkanization government has been overthrown by Anarchy
97;Event;2039;;194919;57297;Anarchy government has been overthrown by Anarchy
97;Event;2131;;204002;59940;Community government has been overthrown by Tribalism
97;Event;2140;;205052;60261;Monarchy government has been overthrown by Anarchy
97;Event;2149;;205896;60496;Democracy government has been overthrown by Balkanization
97;Event;2167;;207490;60974;Theocracy government has been overthrown by Balkanization
97;Event;2198;;209950;61696;Tribalism government has been overthrown by Tribalism
97;Event;2202;;210326;61809;Democracy government has been overthrown by Tribalism
97;Event;2331;;224064;65812;Theocracy government has been overthrown by Monarchy
97;Event;2345;;225444;66217;Balkanization government has been overthrown by Theocracy
97;Event;2360;;226727;66586;Tribalism government has been overthrown by Theocracy
97;Event;2427;;232260;68193;Tribalism government has been overthrown by Tribalism
97;Event;2442;;233280;68465;Anarchy government has been overthrown by Community
97;Event;2448;;233872;68623;Community government has been overthrown by Community
97;Event;2463;;235160;68994;Anarchy government has been overthrown by Monarchy
97;Event;2476;;235748;69179;Balkanization government has been overthrown by Monarchy
97;Event;2498;;238822;70116;Major religious event
97;Event;2514;;239968;70447;Balkanization government has been overthrown by Monarchy
96;Event;34;;3347;1000;Monarchy government has been overthrown by Balkanization
96;Event;67;;7875;2332;Democracy government has been overthrown by Democracy
96;Event;101;;10717;3178;Charismatic leader
96;Event;111;;11693;3463;Anarchy government has been overthrown by Democracy
96;Event;114;;11888;3515;Tribalism government has been overthrown by Anarchy
96;Event;123;;13036;3868;Anarchy government has been overthrown by Anarchy
96;Event;171;;17234;5075;Tribalism government has been overthrown by Monarchy
96;Event;179;;18082;5347;Balkanization government has been overthrown by Tribalism
96;Event;304;;30982;9138;Anarchy government has been overthrown by Theocracy
96;Event;388;;38988;11527;Democracy government has been overthrown by Tribalism
96;Event;418;;41347;12204;Tribalism government has been overthrown by Community
96;Event;473;;46844;13775;Democracy government has been overthrown by Tribalism
96;Event;476;;47213;13885;Tribalism government has been overthrown by Theocracy
96;Event;483;;47626;14010;Anarchy government has been overthrown by Theocracy
96;Event;516;;50467;14844;Community government has been overthrown by Anarchy
96;Event;520;;50895;14975;Balkanization government has been overthrown by Theocracy
96;Event;563;;54201;15969;Natural catastrophe
96;Event;708;;69309;20392;Community government has been overthrown by Community
96;Event;713;;69716;20508;Tribalism government has been overthrown by Balkanization
96;Event;771;;75409;22123;Community government has been overthrown by Balkanization
96;Event;860;;82056;24160;Theocracy government has been overthrown by Theocracy
96;Event;916;;86684;25480;Monarchy government has been overthrown by Theocracy
96;Event;997;;93717;27555;Monarchy government has been overthrown by Monarchy
96;Event;999;;93784;27571;Community government has been overthrown by Theocracy
96;Event;1075;;101529;29813;Democracy government has been overthrown by Balkanization
96;Event;1077;;101539;29815;Community government has been overthrown by Tribalism
96;Event;1187;;113204;33351;Balkanization government has been overthrown by Community
96;Event;1208;;115304;33970;Monarchy government has been overthrown by Community
96;Event;1212;;115671;34071;Anarchy government has been overthrown by Monarchy
96;Event;1214;;115919;34141;Tribalism government has been overthrown by Anarchy
96;Event;1231;;117766;34668;Community government has been overthrown by Theocracy
96;Event;1270;;121590;35759;Theocracy government has been overthrown by Anarchy
96;Event;1277;;122089;35895;Theocracy government has been overthrown by Monarchy
96;Event;1279;;122242;35940;Social trouble
96;Event;1313;;126385;37127;Community government has been overthrown by Theocracy
96;Event;1351;;130647;38340;Anarchy government has been overthrown by Community
96;Event;1375;;133830;39251;Militarist demonstrations
96;Event;1382;;134851;39553;Theocracy government has been overthrown by Anarchy
96;Event;1383;;134968;39591;Tribalism government has been overthrown by Tribalism
96;Event;1419;;137724;40394;Tribalism government has been overthrown by Community
96;Event;1430;;138626;40654;Balkanization government has been overthrown by Community
96;Event;1522;;146005;42840;Anarchy government has been overthrown by Anarchy
96;Event;1528;;146509;42994;Democracy government has been overthrown by Community
96;Event;1560;;149073;43730;Anarchy government has been overthrown by Tribalism
96;Event;1606;;152773;44799;Theocracy government has been overthrown by Balkanization
96;Event;1622;;154307;45269;Community government has been overthrown by Anarchy
96;Event;1726;;164634;48310;Community government has been overthrown by Anarchy
96;Event;1802;;171577;50330;Anarchy government has been overthrown by Democracy
96;Event;1818;;173641;50943;Balkanization government has been overthrown by Democracy
96;Event;1850;;176380;51753;Major happy event
96;Event;1878;;179731;52729;Anarchy government has been overthrown by Theocracy
96;Event;1987;;190067;55843;Pro-alien demonstrations
96;Event;2001;;191570;56279;Tribalism government has been overthrown by Balkanization
96;Event;2084;;198865;58477;Tribalism government has been overthrown by Tribalism
96;Event;2169;;207581;61010;Monarchy government has been overthrown by Balkanization
96;Event;2221;;212666;62493;Monarchy government has been overthrown by Community
96;Event;2226;;213013;62605;Community government has been overthrown by Democracy
96;Event;2252;;215337;63312;Pro-alien demonstrations
96;Event;2359;;226704;66579;Balkanization government has been overthrown by Monarchy
96;Event;2367;;227387;66782;Pro-alien demonstrations
96;Event;2394;;229164;67285;Community government has been overthrown by Balkanization
96;Event;2397;;229617;67428;Economic boon
96;Event;2418;;231342;67943;Balkanization government has been overthrown by Community
96;Event;2462;;235095;68975;Monarchy government has been overthrown by Theocracy
96;Event;2470;;235400;69064;Tribalism government has been overthrown by Democracy
96;Event;2475;;235687;69160;Monarchy government has been overthrown by Tribalism
96;Event;2486;;237234;69656;Major religious event
96;Event;2549;;242774;71245;Tribalism government has been overthrown by Theocracy
96;Event;2550;;243100;71339;Mineral ressources crisis
95;Event;28;;2944;873;Democracy government has been overthrown by Community
95;Event;50;;5161;1527;Democracy government has been overthrown by Community
95;Event;110;;11654;3451;Tribalism government has been overthrown by Anarchy
95;Event;116;;12156;3615;Theocracy government has been overthrown by Community
95;Event;190;;18914;5586;Balkanization government has been overthrown by Monarchy
95;Event;204;;20378;6028;Major religious event
95;Event;326;;33532;9934;Tribalism government has been overthrown by Theocracy
95;Event;334;;34312;10159;Balkanization government has been overthrown by Monarchy
95;Event;530;;51539;15178;Community government has been overthrown by Balkanization
95;Event;537;;52206;15399;Balkanization government has been overthrown by Balkanization
95;Event;565;;54308;15995;Anarchy government has been overthrown by Democracy
95;Event;661;;63813;18782;Anarchy government has been overthrown by Tribalism
95;Event;686;;66892;19700;Tribalism government has been overthrown by Monarchy
95;Event;707;;69108;20336;Anarchy government has been overthrown by Democracy
95;Event;717;;70324;20661;Monarchy government has been overthrown by Anarchy
95;Event;789;;76669;22509;Tribalism government has been overthrown by Monarchy
95;Event;822;;79006;23214;Community government has been overthrown by Monarchy
95;Event;846;;80762;23781;Tribalism government has been overthrown by Monarchy
95;Event;896;;84918;24953;Democracy government has been overthrown by Tribalism
95;Event;901;;85665;25181;Monarchy government has been overthrown by Community
95;Event;922;;87703;25772;Research breakthrough
95;Event;933;;88666;26069;Genetic manipulations(Toughness)
95;Event;945;;89566;26325;World wide war
95;Event;948;;89805;26390;Monarchy government has been overthrown by Anarchy
95;Event;950;;89965;26445;Balkanization government has been overthrown by Democracy
95;Event;1000;;93794;27575;Balkanization government has been overthrown by Community
95;Event;1080;;101774;29880;Civil rights progress
95;Event;1102;;104059;30616;Community government has been overthrown by Tribalism
95;Event;1186;;113132;33326;Community government has been overthrown by Democracy
95;Event;1274;;121812;35815;Theocracy government has been overthrown by Theocracy
95;Event;1281;;122536;36032;Anti-science demonstrations
95;Event;1333;;128513;37732;Balkanization government has been overthrown by Monarchy
95;Event;1336;;129142;37913;Theocracy government has been overthrown by Theocracy
95;Event;1348;;130303;38248;Civil unrest
95;Event;1555;;148708;43627;Balkanization government has been overthrown by Balkanization
95;Event;1578;;150821;44226;Balkanization government has been overthrown by Tribalism
95;Event;1594;;151927;44542;Monarchy government has been overthrown by Community
95;Event;1603;;152568;44737;Community government has been overthrown by Balkanization
95;Event;1615;;153678;45074;Community government has been overthrown by Theocracy
95;Event;1616;;153736;45095;Anarchy government has been overthrown by Democracy
95;Event;1620;;154176;45235;Theocracy government has been overthrown by Anarchy
95;Event;1681;;159991;46983;Community government has been overthrown by Anarchy
95;Event;1725;;164554;48283;Community government has been overthrown by Monarchy
95;Event;1791;;170455;49965;Community government has been overthrown by Democracy
95;Event;1807;;172197;50513;Democracy government has been overthrown by Tribalism
95;Event;1828;;174963;51319;Theocracy government has been overthrown by Democracy
95;Event;1832;;175141;51373;Democracy government has been overthrown by Tribalism
95;Event;1838;;175521;51496;Tribalism government has been overthrown by Democracy
95;Event;1840;;175615;51524;Religious crisis (Animism to Monotheism)
95;Event;1918;;184024;54025;Tribalism government has been overthrown by Balkanization
95;Event;1954;;186922;54918;Theocracy government has been overthrown by Anarchy
95;Event;1969;;188174;55294;Monarchy government has been overthrown by Monarchy
95;Event;2040;;194958;57309;Democracy government has been overthrown by Balkanization
95;Event;2066;;197536;58083;Community government has been overthrown by Theocracy
95;Event;2094;;199765;58724;Community government has been overthrown by Balkanization
95;Event;2184;;208839;61366;Anarchy government has been overthrown by Community
95;Event;2185;;208849;61367;Theocracy government has been overthrown by Theocracy
95;Event;2263;;216580;63663;Theocracy government has been overthrown by Theocracy
95;Event;2443;;233281;68465;Community government has been overthrown by Monarchy
95;Event;2482;;236554;69433;Mineral ressources crisis
95;Event;2488;;237522;69748;Democracy government has been overthrown by Community
95;Event;2491;;237868;69847;Democracy government has been overthrown by Theocracy
95;Event;2522;;240797;70703;Theocracy government has been overthrown by Tribalism
95;Event;2535;;241463;70898;Anarchy government has been overthrown by Anarchy
95;Event;2557;;243874;71545;Monarchy government has been overthrown by Anarchy
94;Event;19;;1893;566;Major religious event
94;Event;94;;10129;3000;Monarchy government has been overthrown by Anarchy
94;Event;142;;14424;4272;Mineral ressources crisis
94;Event;143;;14432;4274;Democracy government has been overthrown by Tribalism
94;Event;221;;22173;6567;Monarchy government has been overthrown by Community
94;Event;232;;23449;6934;Theocracy government has been overthrown by Democracy
94;Event;276;;28715;8456;Major religious event
94;Event;320;;32828;9712;Anarchy government has been overthrown by Community
94;Event;482;;47600;14003;Community government has been overthrown by Tribalism
94;Event;521;;50972;15005;Natural catastrophe
94;Event;558;;53700;15832;Anarchy government has been overthrown by Balkanization
94;Event;566;;54341;16011;Birthrate soars
94;Event;664;;64245;18913;Anarchy government has been overthrown by Democracy
94;Event;680;;66325;19523;Tribalism government has been overthrown by Balkanization
94;Event;694;;67382;19835;Theocracy government has been overthrown by Community
94;Event;712;;69658;20490;Democracy government has been overthrown by Theocracy
94;Event;745;;72821;21364;Democracy government has been overthrown by Balkanization
94;Event;775;;75545;22164;Democracy government has been overthrown by Community
94;Event;910;;86384;25387;Democracy government has been overthrown by Theocracy
94;Event;923;;87740;25779;Community government has been overthrown by Balkanization
94;Event;938;;88998;26162;Natural catastrophe
94;Event;1043;;99471;29213;Balkanization government has been overthrown by Anarchy
94;Event;1068;;101208;29723;Community government has been overthrown by Monarchy
94;Event;1165;;111372;32786;Tribalism government has been overthrown by Tribalism
94;Event;1177;;112314;33068;Ecological disaster
94;Event;1246;;119647;35210;Anarchy government has been overthrown by Anarchy
94;Event;1259;;120386;35426;Anarchy government has been overthrown by Monarchy
94;Event;1294;;124147;36478;Balkanization government has been overthrown by Community
94;Event;1319;;127237;37366;Anarchy government has been overthrown by Monarchy
94;Event;1348;;130303;38248;Anarchy government has been overthrown by Anarchy
94;Event;1474;;142649;41852;Community government has been overthrown by Democracy
94;Event;1502;;144737;42454;Tribalism government has been overthrown by Theocracy
94;Event;1561;;149165;43760;Balkanization government has been overthrown by Balkanization
94;Event;1596;;152024;44573;Balkanization government has been overthrown by Theocracy
94;Event;1657;;157902;46353;Community government has been overthrown by Monarchy
94;Event;1722;;164464;48260;Balkanization government has been overthrown by Monarchy
94;Event;1965;;187785;55197;Economic boon
94;Event;1986;;190063;55842;Crime Wave
94;Event;2367;;227387;66782;Agricultural disaster
94;Event;2403;;229970;67536;Tribalism government has been overthrown by Balkanization
94;Event;2412;;230709;67754;Mineral ressources crisis
94;Event;2416;;231156;67893;Religious crisis (Deism to Polytheism)
94;Event;2515;;240001;70455;Anarchy government has been overthrown by Anarchy
94;Event;2533;;241334;70855;Monarchy government has been overthrown by Balkanization
93;Event;38;;3666;1087;Tribalism government has been overthrown by Anarchy
93;Event;42;;4310;1280;Democracy government has been overthrown by Balkanization
93;Event;197;;19984;5909;Balkanization government has been overthrown by Community
93;Event;205;;20433;6047;Tribalism government has been overthrown by Tribalism
93;Event;215;;21753;6452;Community government has been overthrown by Community
93;Event;235;;24131;7155;Democracy government has been overthrown by Anarchy
93;Event;266;;27644;8159;Social trouble
93;Event;294;;30343;8960;Anarchy government has been overthrown by Anarchy
93;Event;402;;40401;11924;Democracy government has been overthrown by Anarchy
93;Event;433;;43031;12683;Anti-science demonstrations
93;Event;514;;50059;14727;Anarchy government has been overthrown by Monarchy
93;Event;549;;53069;15654;Theocracy government has been overthrown by Monarchy
93;Event;553;;53155;15687;Monarchy government has been overthrown by Theocracy
93;Event;576;;55294;16269;Plague
93;Event;673;;65534;19308;Theocracy government has been overthrown by Anarchy
93;Event;720;;70619;20736;Balkanization government has been overthrown by Tribalism
93;Event;734;;71923;21121;Democracy government has been overthrown by Community
93;Event;786;;76406;22437;Democracy government has been overthrown by Anarchy
93;Event;820;;78815;23172;Monarchy government has been overthrown by Tribalism
93;Event;870;;82453;24264;Tribalism government has been overthrown by Theocracy
93;Event;954;;90150;26497;Theocracy government has been overthrown by Tribalism
93;Event;1064;;100973;29662;Economic collapse
93;Event;1113;;105260;30984;Balkanization government has been overthrown by Theocracy
93;Event;1252;;120057;35336;Agricultural disaster
93;Event;1305;;125450;36880;Monarchy government has been overthrown by Community
93;Event;1434;;139537;40931;Balkanization government has been overthrown by Community
93;Event;1558;;149009;43711;Infertile plague
93;Event;1662;;158398;46514;Democracy government has been overthrown by Anarchy
93;Event;1890;;181262;53161;Balkanization government has been overthrown by Theocracy
93;Event;1908;;183211;53760;Tribalism government has been overthrown by Theocracy
93;Event;1927;;184548;54173;Monarchy government has been overthrown by Balkanization
93;Event;1971;;188426;55370;Democracy government has been overthrown by Balkanization
93;Event;2051;;196048;57634;Pro-science demonstrations
93;Event;2071;;197865;58178;Birthrate soars
93;Event;2196;;209921;61683;Tribalism government has been overthrown by Democracy
93;Event;2216;;212273;62374;Community government has been overthrown by Monarchy
93;Event;2290;;218691;64272;Balkanization government has been overthrown by Democracy
93;Event;2291;;218793;64302;Community government has been overthrown by Monarchy
93;Event;2292;;218896;64335;Community government has been overthrown by Monarchy
93;Event;2398;;229669;67449;Balkanization government has been overthrown by Democracy
93;Event;2493;;238037;69895;Monarchy government has been overthrown by Tribalism
93;Event;2511;;239832;70401;Community government has been overthrown by Balkanization
93;Event;2537;;241644;70940;Community government has been overthrown by Democracy
92;Event;125;;13054;3871;Theocracy government has been overthrown by Monarchy
92;Event;182;;18542;5477;Community government has been overthrown by Theocracy
92;Event;313;;32028;9479;Tribalism government has been overthrown by Democracy
92;Event;397;;39739;11746;Tribalism government has been overthrown by Anarchy
92;Event;431;;42878;12644;Economic collapse
92;Event;436;;43403;12784;Tribalism government has been overthrown by Monarchy
92;Event;705;;68171;20079;Balkanization government has been overthrown by Monarchy
92;Event;718;;70403;20683;Democracy government has been overthrown by Monarchy
92;Event;758;;74181;21774;Community government has been overthrown by Tribalism
92;Event;817;;78591;23094;Theocracy government has been overthrown by Community
92;Event;848;;81069;23865;Natural catastrophe
92;Event;861;;82081;24165;Anarchy government has been overthrown by Monarchy
92;Event;937;;88949;26150;Monarchy government has been overthrown by Democracy
92;Event;959;;90779;26696;Birthrate soars
92;Event;1021;;96999;28517;Community government has been overthrown by Balkanization
92;Event;1103;;104117;30635;Community government has been overthrown by Anarchy
92;Event;1131;;107484;31641;Theocracy government has been overthrown by Theocracy
92;Event;1156;;110837;32641;Anarchy government has been overthrown by Balkanization
92;Event;1289;;123116;36197;Social trouble
92;Event;1297;;124572;36629;Economic collapse
92;Event;1408;;136974;40170;Democracy government has been overthrown by Balkanization
92;Event;1473;;142510;41822;Anarchy government has been overthrown by Balkanization
92;Event;1531;;146628;43034;Balkanization government has been overthrown by Community
92;Event;1548;;148201;43476;Tribalism government has been overthrown by Democracy
92;Event;1635;;155545;45649;Theocracy government has been overthrown by Anarchy
92;Event;1728;;164754;48347;Religious crisis (Monotheism to Polytheism)
92;Event;1743;;166231;48765;Anarchy government has been overthrown by Anarchy
92;Event;1769;;168958;49550;Theocracy government has been overthrown by Community
92;Event;1899;;182308;53479;Ecological disaster
92;Event;2002;;191577;56282;Community government has been overthrown by Tribalism
92;Event;2062;;197414;58049;Economic boon
92;Event;2075;;198184;58273;Anarchy government has been overthrown by Community
92;Event;2079;;198370;58324;Economic boon
92;Event;2224;;212972;62586;Community government has been overthrown by Democracy
92;Event;2255;;215558;63361;Democracy government has been overthrown by Anarchy
92;Event;2524;;240844;70713;Tribalism government has been overthrown by Democracy
92;Event;2550;;243100;71339;Democracy government has been overthrown by Balkanization
91;Event;24;;2554;762;Infertile plague
91;Event;70;;8041;2385;Theocracy government has been overthrown by Community
